≥Ø¬•,∆¿,ªÛ¥Î∆¿,»®∆¿,≈∏ºÆ,≈∏ºˆ,≈∏¡°,µÊ¡°,æ»≈∏,»®∑±,µµ∑Á,µµΩ«,»Ò∫Ò,∫º≥›,ªÔ¡¯,∫¥ªÏ,¿‹∑Á¿≤,√‚∑Á¿≤,≈∏¿≤,Ω¬∆–
20150409,HT,NC,B,36,34,2,2,7,2,2,0,0,2,5,1,8,0.25,0.205882353,0
20150409,NE,OB,T,30,27,0,0,0,0,0,0,0,3,8,0,6,0.1,0,0
20150409,OB,NE,B,31,28,1,1,5,0,6,0,0,3,6,1,14,0.258064516,0.178571429,1
20150410,HH,LT,T,50,45,8,9,14,1,0,0,1,3,12,2,23,0.346938776,0.311111111,0
20150410,LT,HH,B,50,42,10,10,10,2,4,0,0,6,20,0,20,0.36,0.238095238,1
20150410,HT,SS,T,47,40,3,3,10,1,0,0,0,5,13,1,16,0.347826087,0.25,0
20150410,SS,HT,B,52,42,4,4,12,3,2,2,0,8,10,0,27,0.411764706,0.285714286,1
20150410,KT,NE,T,33,32,0,0,5,0,0,0,0,0,16,0,11,0.181818182,0.15625,0
20150410,NE,KT,B,34,27,6,6,6,1,0,1,0,5,8,0,10,0.34375,0.222222222,1
20150410,OB,LG,T,35,30,1,2,5,0,4,0,0,5,5,2,16,0.285714286,0.166666667,0
20150410,LG,OB,B,37,30,5,5,9,1,0,1,0,6,9,0,13,0.416666667,0.3,1
20150410,SK,NC,T,38,29,3,3,6,0,0,0,1,5,5,1,13,0.351351351,0.206896552,1
